,Col1,Col2,Col3
0,0.09,69.0,12.0
1,0.17,83.0,8.0
2,0.27,77.0,14.0
3,0.49,95.0,17.0
4,0.9,117.0,23.0
5,1.3,168.0,17.0
6,1.43,177.0,18.0
7,1.53,140.0,14.0
8,1.75,202.0,40.0
9,0.48,97.0,62.0
10,0.88,90.0,40.0
11,0.1791,75.0,4.0
12,0.1993,75.0,5.0
13,0.3519,83.0,14.0
14,0.5929,104.0,13.0
15,0.6797,92.0,8.0
16,0.7812,105.0,12.0
17,0.8754,125.0,17.0
18,1.037,154.0,20.0
19,0.07,69.0,19.6
20,0.12,68.6,26.2
21,0.2,72.9,29.6
22,0.28,88.8,36.6
23,1.363,160.0,33.6
24,1.965,186.5,50.4
25,0.3802,83.0,13.5
26,0.4002,77.0,10.2
27,0.4247,87.1,11.2
28,0.4497,92.8,12.9
29,0.4783,80.9,9.0
